ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4
Hyena_756,4,8,1,7,NA,NA
Hyena_757,3,6,20,NA,NA,NA
Hyena_758,2,18,NA,NA,NA,NA
Hyena_759,2,8,NA,NA,NA,NA
Hyena_760,2,8,NA,NA,NA,NA
Hyena_761,3,3,19,1,NA,NA
Hyena_763,5,6,3,2,1,NA
Hyena_764,2,12,NA,NA,NA,NA
Hyena_767,3,1,20,NA,NA,NA
Hyena_768,5,6,3,2,1,NA
Hyena_769,2,2,NA,NA,NA,NA
Hyena_770,2,2,NA,NA,NA,NA
Hyena_771,2,3,NA,NA,NA,NA
Hyena_774,3,11,1,NA,NA,NA
Hyena_775,3,9,20,NA,NA,NA
Hyena_776,3,7,20,NA,NA,NA
Hyena_777,5,5,1,8,5,NA
Hyena_780,2,15,NA,NA,NA,NA
Hyena_783,5,1,2,8,7,NA
Hyena_785,2,6,NA,NA,NA,NA
Hyena_786,5,14,2,8,7,NA
Hyena_788,2,11,NA,NA,NA,NA
Hyena_789,3,4,15,NA,NA,NA
Hyena_790,3,4,15,NA,NA,NA
Hyena_791,4,1,1,7,NA,NA
Hyena_792,4,1,1,7,NA,NA
Hyena_793,3,8,20,NA,NA,NA
Hyena_794,3,8,20,NA,NA,NA
Hyena_795,5,13,2,8,7,NA
Hyena_796,4,12,1,7,NA,NA
Hyena_797,2,9,NA,NA,NA,NA
Hyena_798,3,6,4,23,NA,NA
Hyena_799,3,1,19,1,NA,NA
Hyena_800,3,3,4,23,NA,NA
Hyena_801,2,12,NA,NA,NA,NA
Hyena_803,4,4,1,7,NA,NA
Hyena_804,4,4,1,7,NA,NA
Hyena_808,5,1,2,8,7,NA
Hyena_810,3,5,19,1,NA,NA
Hyena_812,3,3,19,1,NA,NA
Hyena_813,5,8,2,8,7,NA
Hyena_816,5,9,2,8,7,NA
Hyena_817,2,2,NA,NA,NA,NA
Hyena_823,4,1,2,9,NA,NA
Hyena_824,3,2,19,1,NA,NA
Hyena_826,4,10,2,9,NA,NA
Hyena_842,2,2,NA,NA,NA,NA
Hyena_844,2,4,NA,NA,NA,NA
Hyena_849,2,NA,NA,NA,NA,NA
Hyena_851,2,3,NA,NA,NA,NA
Hyena_852,2,1,NA,NA,NA,NA
Hyena_854,2,3,NA,NA,NA,NA
Hyena_858,3,2,5,NA,NA,NA
Hyena_860,2,5,NA,NA,NA,NA
Hyena_861,3,6,11,NA,NA,NA
Hyena_863,3,7,4,NA,NA,NA
Hyena_864,3,7,4,NA,NA,NA
Hyena_865,3,1,5,NA,NA,NA
Hyena_866,2,1,NA,NA,NA,NA
Hyena_867,3,2,5,NA,NA,NA
Hyena_868,3,5,5,NA,NA,NA
Hyena_869,3,4,4,NA,NA,NA
Hyena_870,3,4,4,NA,NA,NA
